Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p031,A01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ECA2666,1,,,
p031,B01,48h,10,15hHB101,DMSO,1,Closantel,0,,,JU3237,1,,,
p031,C01,48h,10,15hHB101,DMSO,1,Closantel,0,,,VX34,1,,,
p031,D01,48h,10,15hHB101,DMSO,1,Closantel,0,,,NIC1667,1,,,
p031,E01,48h,10,15hHB101,DMSO,1,Closantel,0,,,PB420,1,,,
p031,F01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ED3102,1,,,
p031,A02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ECA2666,1,,,
p031,B02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,JU3237,1,,,
p031,C02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,VX34,1,,,
p031,D02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,NIC1667,1,,,
p031,E02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,PB420,1,,,
p031,F02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ED3102,1,,,
p031,A03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,ECA2666,1,,,
p031,B03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,JU3237,1,,,
p031,C03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,VX34,1,,,
p031,D03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,NIC1667,1,,,
p031,E03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,PB420,1,,,
p031,F03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,ED3102,1,,,
p031,A04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,ECA2666,1,,,
p031,B04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,JU3237,1,,,
p031,C04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,VX34,1,,,
p031,D04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,NIC1667,1,,,
p031,E04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,PB420,1,,,
p031,F04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,ED3102,1,,,
p031,A05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,ECA2666,1,,,
p031,B05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,JU3237,1,,,
p031,C05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,VX34,1,,,
p031,D05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,NIC1667,1,,,
p031,E05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,PB420,1,,,
p031,F05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,ED3102,1,,,
p031,A06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,ECA2666,1,,,
p031,B06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,JU3237,1,,,
