Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason
p025,A01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ECA2666,1,,
p025,B01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,JU3237,1,,
p025,C01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,VX34,1,,
p025,D01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,NIC1667,1,,
p025,E01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,PB420,1,,
p025,F01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ED3102,1,,
p025,A02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ECA2666,1,,
p025,B02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,JU3237,1,,
p025,C02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,VX34,1,,
p025,D02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,NIC1667,1,,
p025,E02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,PB420,1,,
p025,F02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ED3102,1,,
p025,A03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,ECA2666,1,,
p025,B03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,JU3237,1,,
p025,C03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,VX34,1,,
p025,D03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,NIC1667,1,,
p025,E03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,PB420,1,,
p025,F03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,ED3102,1,,
p025,A04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,ECA2666,1,,
p025,B04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,JU3237,1,,
p025,C04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,VX34,1,,
p025,D04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,NIC1667,1,,
