"drug","concentration_um","type","value","lower","upper"
"Albendazole",0,"broad-sense (H2)",2.41939022361309e-29,0,0.422197601683198
"Albendazole",0,"narrow-sense (h2)",0,-0.0419360856048965,0.0419360856048965
"Albendazole",0.117,"broad-sense (H2)",0,0,0.565858473145142
"Albendazole",0.117,"narrow-sense (h2)",0,-0.0418451585985153,0.0418451585985153
"Albendazole",0.234,"broad-sense (H2)",0,0,0.39008211224334
"Albendazole",0.234,"narrow-sense (h2)",0,-0.0419360856048965,0.0419360856048965
"Albendazole",0.468,"broad-sense (H2)",0,0,0.337890913165677
"Albendazole",0.468,"narrow-sense (h2)",0,-0.0412804327352135,0.0412804327352135
"Albendazole",0.9375,"broad-sense (H2)",0.327726022630033,0.23213921393895,0.733872164072339
"Albendazole",0.9375,"narrow-sense (h2)",0.194286241371118,0.049121269624511,0.339451213117725
"Albendazole",1.875,"broad-sense (H2)",0.324129569666649,0.228311375118282,0.771020026298195
"Albendazole",1.875,"narrow-sense (h2)",0.207118232790911,0.0606951772034246,0.353541288378397
"Albendazole",3.75,"broad-sense (H2)",0.833849785670945,0.785264827234785,0.941850118631855
"Albendazole",3.75,"narrow-sense (h2)",0.734857855115882,0.5966897169203,0.873025993311465
"Albendazole",7.5,"broad-sense (H2)",0.850147023510078,0.806014212387631,0.965527292450049
"Albendazole",7.5,"narrow-sense (h2)",0.764084985970728,0.637326653836721,0.890843318104735
"Albendazole",15,"broad-sense (H2)",0.88862314798638,0.870487411459021,0.957946995717582
"Albendazole",15,"narrow-sense (h2)",0.795432322183716,0.681882257994515,0.908982386372917
"Albendazole",30,"broad-sense (H2)",0.80341443882448,0.745805788755285,0.966322793302058
"Albendazole",30,"narrow-sense (h2)",0.684540801435335,0.530729524865177,0.838352078005494
"Albendazole",60,"broad-sense (H2)",0.870832673247457,0.850485480391481,0.968221852622163
"Albendazole",60,"narrow-sense (h2)",0.776731237624646,0.654144238732318,0.899318236516974
"Albendazole",120,"broad-sense (H2)",0.884149530531723,0.862744040732228,0.960369416592522
"Albendazole",120,"narrow-sense (h2)",0.79855425245618,0.686346476886725,0.910762028025634
"Fenbendazole",0,"broad-sense (H2)",1.64338204642809e-29,0,0.388756140495619
"Fenbendazole",0,"narrow-sense (h2)",0,-0.045385344227982,0.045385344227982
"Fenbendazole",0.117,"broad-sense (H2)",0,0,0.519536061584233
"Fenbendazole",0.117,"narrow-sense (h2)",0,-0.0412804327352135,0.0412804327352135
"Fenbendazole",0.234,"broad-sense (H2)",0.11621241581076,0.0971716108517688,0.652771887792654
"Fenbendazole",0.234,"narrow-sense (h2)",0.0571715452695681,-0.0255007822326074,0.139843872771744
"Fenbendazole",0.468,"broad-sense (H2)",0.1004984577824,0,0.759213919698362
"Fenbendazole",0.468,"narrow-sense (h2)",0.013095756945124,-0.0434512221963538,0.0696427360866018
"Fenbendazole",0.937,"broad-sense (H2)",0,0,0.7545103377547
"Fenbendazole",0.937,"narrow-sense (h2)",0.021090014962678,-0.0376809361976927,0.0798609661230487
"Fenbendazole",1.875,"broad-sense (H2)",0.461577259769431,0.360978770059876,0.865939793371122
"Fenbendazole",1.875,"narrow-sense (h2)",0.32139153783669,0.143690979076783,0.499092096596597
"Fenbendazole",3.75,"broad-sense (H2)",0.538605571933206,0.451023548144154,0.851796783629484
"Fenbendazole",3.75,"narrow-sense (h2)",0.275788343205085,0.110162062796192,0.441414623613979
"Fenbendazole",7.5,"broad-sense (H2)",0.70601147141423,0.640523117883061,0.910066642701764
"Fenbendazole",7.5,"narrow-sense (h2)",0.396008858796798,0.211987792647757,0.58002992494584
"Fenbendazole",15,"broad-sense (H2)",0.447523654334054,0.360118095595994,0.966114692196033
"Fenbendazole",15,"narrow-sense (h2)",0.211343900856065,0.0559479648304191,0.36673983688171
"Fenbendazole",60,"broad-sense (H2)",0.850132062323081,0.820935996973171,0.958180700364722
"Fenbendazole",60,"narrow-sense (h2)",0.654508964801612,0.491185759157792,0.817832170445433
"Fenbendazole",120,"broad-sense (H2)",0.951308948545762,0.937244187090439,0.986323896931929
"Fenbendazole",120,"narrow-sense (h2)",0.86317583176442,0.780635048044546,0.945716615484295
"Ivermectin",0,"broad-sense (H2)",1.84941765497433e-30,0,0.574422228559136
"Ivermectin",0,"narrow-sense (h2)",0,-0.0412804327352135,0.0412804327352135
"Ivermectin",2.9e-05,"broad-sense (H2)",0,0,0.478028767818216
"Ivermectin",2.9e-05,"narrow-sense (h2)",0,-0.043546042767175,0.043546042767175
"Ivermectin",5.8e-05,"broad-sense (H2)",0,0,0.6339065697643
"Ivermectin",5.8e-05,"narrow-sense (h2)",0,-0.0446851035881877,0.0446851035881877
"Ivermectin",0.00011,"broad-sense (H2)",0,0,0.524949137126109
"Ivermectin",0.00011,"narrow-sense (h2)",0,-0.0412804327352135,0.0412804327352135
"Ivermectin",0.00023,"broad-sense (H2)",0.0886299368232065,0.0158712582016223,0.678164241957368
"Ivermectin",0.00023,"narrow-sense (h2)",0.0051887417820199,-0.0422953539572329,0.0526728375212727
"Ivermectin",0.00046,"broad-sense (H2)",0.871272679520726,0.84109846818171,0.948180714306587
"Ivermectin",0.00046,"narrow-sense (h2)",0.808335374350554,0.699751362955521,0.916919385745587
"Ivermectin",0.00093,"broad-sense (H2)",0.91145102637416,0.896632825063517,0.972234068897345
"Ivermectin",0.00093,"narrow-sense (h2)",0.83282754946474,0.734855565233112,0.930799533696368
"Ivermectin",0.0018,"broad-sense (H2)",0.971094935372419,0.967817739790608,0.991876664645102
"Ivermectin",0.0018,"narrow-sense (h2)",0.937321574719484,0.896972295413204,0.977670854025763
"Ivermectin",0.0037,"broad-sense (H2)",0.986313891940444,0.985569013555473,0.996068857473938
"Ivermectin",0.0037,"narrow-sense (h2)",0.970549867957441,0.950823176540122,0.99027655937476
"Ivermectin",0.0075,"broad-sense (H2)",0.99005040501679,0.988543453581995,0.996060986592046
"Ivermectin",0.0075,"narrow-sense (h2)",0.981118421654699,0.968384218069388,0.993852625240011
"Ivermectin",0.015,"broad-sense (H2)",0.984577824268459,0.982358860181941,0.992123544176469
"Ivermectin",0.015,"narrow-sense (h2)",0.971722098288365,0.952865902068311,0.990578294508419
"Ivermectin",0.03,"broad-sense (H2)",0.972481512871682,0.967957875162795,0.986759530621248
"Ivermectin",0.03,"narrow-sense (h2)",0.95154539079294,0.919753918348676,0.983336863237203
"Moxidectin",0,"broad-sense (H2)",5.95375220649164e-31,0,0.139057749419005
"Moxidectin",0,"narrow-sense (h2)",0,-0.0133795532189616,0.0133795532189616
"Moxidectin",0.00097,"broad-sense (H2)",0.0107408031483899,0,0.256323139818837
"Moxidectin",0.00097,"narrow-sense (h2)",0,-0.0135788035881484,0.0135788035881484
"Moxidectin",0.0019,"broad-sense (H2)",0.0577255078881371,0,0.320407428093672
"Moxidectin",0.0019,"narrow-sense (h2)",0.0242762163538785,-0.00762668511482666,0.0561791178225836
"Moxidectin",0.0039,"broad-sense (H2)",0.14289154415009,0.0327038726364305,0.357170134791496
"Moxidectin",0.0039,"narrow-sense (h2)",0.084427174618251,0.0184855823220888,0.150368766914413
"Moxidectin",0.0078,"broad-sense (H2)",0.0724760404072844,0.00534175813009619,0.253662635093315
"Moxidectin",0.0078,"narrow-sense (h2)",0.0337140677618428,-0.00420470004588128,0.0716328355695668
"Moxidectin",0.0156,"broad-sense (H2)",0.369701886329144,0.308363140072597,0.575680009932157
"Moxidectin",0.0156,"narrow-sense (h2)",0.263452304566605,0.126910357068124,0.399994252065086
"Moxidectin",0.03125,"broad-sense (H2)",0.853599081729038,0.813134461578582,0.952459600666772
"Moxidectin",0.03125,"narrow-sense (h2)",0.74662526500971,0.622487155361631,0.870763374657789
"Moxidectin",0.0625,"broad-sense (H2)",0.895584506004295,0.880442493974065,0.946218892513992
"Moxidectin",0.0625,"narrow-sense (h2)",0.804288625588421,0.701300812015448,0.907276439161395
"Moxidectin",0.125,"broad-sense (H2)",0.932043977064156,0.910371303963442,0.981956984643765
"Moxidectin",0.125,"narrow-sense (h2)",0.861729734774128,0.78404690892814,0.939412560620116
"Moxidectin",0.25,"broad-sense (H2)",0.92328494447389,0.905634702305312,0.97374728487289
"Moxidectin",0.25,"narrow-sense (h2)",0.841567469573233,0.754678668027437,0.92845627111903
"Moxidectin",0.5,"broad-sense (H2)",0.910070218100603,0.884242100732492,0.948976214655454
"Moxidectin",0.5,"narrow-sense (h2)",0.820661159718761,0.724517010975374,0.916805308462148
"Moxidectin",1,"broad-sense (H2)",0.884038522239683,0.861569780554393,0.936448313205615
"Moxidectin",1,"narrow-sense (h2)",0.772144842358455,0.656899120527824,0.887390564189085
"Milbemycin",0,"broad-sense (H2)",1.48752228382898e-31,0,0.465727442705307
"Milbemycin",0,"narrow-sense (h2)",0,-0.0136985810795134,0.0136985810795134
"Milbemycin",0.00097,"broad-sense (H2)",0,0,0.491465570702103
"Milbemycin",0.00097,"narrow-sense (h2)",0,-0.0136467205672332,0.0136467205672332
"Milbemycin",0.0019,"broad-sense (H2)",0,0,0.471038306239493
"Milbemycin",0.0019,"narrow-sense (h2)",0,-0.0136737801688597,0.0136737801688597
"Milbemycin",0.0039,"broad-sense (H2)",0.403139785730935,0.318161460995075,0.58779849651652
"Milbemycin",0.0039,"narrow-sense (h2)",0.305551350441072,0.15869886919311,0.452403831689033
"Milbemycin",0.0078,"broad-sense (H2)",0,0,0.508111016011764
"Milbemycin",0.0078,"narrow-sense (h2)",0,-0.0143030556179735,0.0143030556179735
"Milbemycin",0.0156,"broad-sense (H2)",0,0,0.493349990441338
"Milbemycin",0.0156,"narrow-sense (h2)",0,-0.0137524351101423,0.0137524351101423
"Milbemycin",0.03125,"broad-sense (H2)",0,0,0.477299387394803
"Milbemycin",0.03125,"narrow-sense (h2)",0,-0.0133352972750193,0.0133352972750193
"Milbemycin",0.0625,"broad-sense (H2)",0.116214449541156,0,0.48456923714918
"Milbemycin",0.0625,"narrow-sense (h2)",0.0646129020469047,0.00940604885223729,0.119819755241572
"Milbemycin",0.125,"broad-sense (H2)",0.0282715824321305,0,0.670337992982758
"Milbemycin",0.125,"narrow-sense (h2)",0.00674310015669802,-0.0125388304748603,0.0260250307882564
"Milbemycin",0.25,"broad-sense (H2)",0.629345568190874,0.341925348408222,0.975956765355442
"Milbemycin",0.25,"narrow-sense (h2)",0.437341724472082,0.271897367934615,0.602786081009549
"Milbemycin",0.5,"broad-sense (H2)",0.816216161690729,0.657615492275165,0.95606192792967
"Milbemycin",0.5,"narrow-sense (h2)",0.695983629634846,0.556895950704891,0.835071308564802
"Milbemycin",1,"broad-sense (H2)",0.826982375294358,0.770222227198319,0.917465887248285
"Milbemycin",1,"narrow-sense (h2)",0.72083048930515,0.588691962253144,0.852969016357156
"Levamisole",0,"broad-sense (H2)",1.02826613434511e-29,0,0.479812825203027
"Levamisole",0,"narrow-sense (h2)",0,-0.0439791564090305,0.0439791564090305
"Levamisole",0.136,"broad-sense (H2)",0.155343867283873,0.0256241863190985,0.746065414492455
"Levamisole",0.136,"narrow-sense (h2)",0.0726999024313302,-0.018444896665677,0.163844701528337
