"drug","type","value","EC_level","EC_value","upper","lower","concentration_um","diff_from_EC"
"Albendazole","h2",0,"EC10",0.695832564632092,0.0412804327352135,-0.0412804327352135,0.468,0.227832564632092
"Albendazole","h2",0.664252045177911,"EC50",4.73878385121755,0.841110281308342,0.487393809047479,3.75,0.988783851217546
"Albendazole","h2",0.776731237624646,"EC90",60.3960957552614,0.899318236516974,0.654144238732318,60,0.396095755261449
"Albendazole","H2",0,"EC10",0.695832564632092,0.333783540559453,0,0.468,0.227832564632092
"Albendazole","H2",0.829556871607452,"EC50",4.73878385121755,0.974083118986521,0.756620457848016,3.75,0.988783851217546
"Albendazole","H2",0.870832673247457,"EC90",60.3960957552614,0.955950543010591,0.843918801869776,60,0.396095755261449
"Fenbendazole","h2",0,"EC10",0.546676394378013,0.04729397401711,-0.04729397401711,0.468,0.0786763943780132
"Fenbendazole","h2",0.396008858796798,"EC50",6.09721098597786,0.58002992494584,0.211987792647757,7.5,1.40278901402214
"Fenbendazole","h2",0.860900737306687,"EC90",110.453839284128,0.953627926376424,0.768173548236951,120,9.54616071587176
"Fenbendazole","H2",0.0831463891140157,"EC10",0.546676394378013,0.849335118821458,0,0.468,0.0786763943780132
"Fenbendazole","H2",0.70601147141423,"EC50",6.09721098597786,0.863901941645413,0.642832816961205,7.5,1.40278901402214
"Fenbendazole","H2",0.955737472968138,"EC90",110.453839284128,0.988419399174705,0.945981960431939,120,9.54616071587176
"Ivermectin","h2",0.789791567470064,"EC10",0.000386240878331344,0.918728725045104,0.660854409895024,0.00046,7.37591216686558e-05
"Ivermectin","h2",0.789791567470064,"EC50",0.000680229632061797,0.918728725045104,0.660854409895024,0.00046,0.000220229632061797
"Ivermectin","h2",0.83282754946474,"EC90",0.00121885010812362,0.930799533696368,0.734855565233112,0.00093,0.00028885010812362
"Ivermectin","H2",0.884243709149256,"EC10",0.000386240878331344,0.961441818578798,0.854099527518802,0.00046,7.37591216686558e-05
"Ivermectin","H2",0.884243709149256,"EC50",0.000680229632061797,0.961441818578798,0.854099527518802,0.00046,0.000220229632061797
"Ivermectin","H2",0.91145102637416,"EC90",0.00121885010812362,0.971024312813216,0.896483966535322,0.00093,0.00028885010812362
"Milbemycin","h2",0.437341724472082,"EC10",0.236283348498174,0.602786081009549,0.271897367934615,0.25,0.0137166515018262
"Milbemycin","h2",0.695983629634846,"EC50",0.506931908591821,0.835071308564802,0.556895950704891,0.5,0.00693190859182136
"Milbemycin","h2",0.72083048930515,"EC90",1.11273304034907,0.852969016357156,0.588691962253144,1,0.112733040349074
"Milbemycin","H2",0.629345568190874,"EC10",0.236283348498174,0.980488189929553,0.356338494519117,0.25,0.0137166515018262
